2026-04-03 11:49:34,591 | INFO | mail_pii | {"mail_id": "mail_001", "success": true, "processing_time_sec": 0.2763, "num_entities": 17, "output_file": "/home/aravena261/Documents/Anonymization/outputs/anonymized/mail_001.txt", "anonymized_text": "From: Chase Security Team <<ANONYMIZED>>\nTo: <ANONYMIZED>\nSubject: URGENT: Unusual Sign-in Activity Detected\n\nDear <ANONYMIZED>,\n\nOur system detected a suspicious login attempt to your Chase Online account from an unrecognized device in <ANONYMIZED>, <ANONYMIZED>.\n\nAccount ending in: <ANONYMIZED><ANONYMIZED>: <ANONYMIZED>, <ANONYMIZED>\nTime: <ANONYMIZED>\n\nIf this was not you, please click the link below:\n<ANONYMIZED>\n\nIf you have questions, call <ANONYMIZED> or visit <ANONYMIZED>, <ANONYMIZED>, NY 10017.\n\nThank you,\nChase Bank Global Security Operations"}
2026-04-03 11:49:34,594 | INFO | mail_pii | Metrics saved to /home/aravena261/Documents/Anonymization/outputs/metrics/metrics.csv
2026-04-03 12:56:40,741 | INFO | mail_pii | {"mail_id": "mail_001", "success": true, "processing_time_sec": 0.2228, "num_entities": 17, "output_file": "/home/aravena261/Documents/Anonymization/outputs/anonymized/mail_001.txt", "anonymized_text": "From: Chase Security Team <<EMAIL_ADDRESS>>\nTo: <EMAIL_ADDRESS>\nSubject: URGENT: Unusual Sign-in Activity Detected\n\nDear <PERSON>,\n\nOur system detected a suspicious login attempt to your Chase Online account from an unrecognized device in <LOCATION>, <LOCATION>.\n\nAccount ending in: <ACCOUNT_NUMBER><DATE_TIME>: <DATE_TIME>, <DATE_TIME>\nTime: <DATE_TIME>\n\nIf this was not you, please click the link below:\n<URL>\n\nIf you have questions, call <PHONE_NUMBER> or visit <ADDRESS>, <LOCATION>, NY 10017.\n\nThank you,\nChase Bank Global Security Operations"}
2026-04-03 12:56:40,744 | INFO | mail_pii | Metrics saved to /home/aravena261/Documents/Anonymization/outputs/metrics/metrics.csv
2026-04-03 14:43:37,218 | INFO | mail_pii | {"mail_id": "mail_001", "success": true, "processing_time_sec": 0.2628, "num_entities": 15, "output_file": "/Users/joaquinaravena/Documents/GitHub/Personal-projects/Anonymization/outputs/anonymized/mail_001.txt", "anonymized_text": "From: Chase Security Team <<EMAIL_ADDRESS>>\nTo: <EMAIL_ADDRESS>\nSubject: URGENT: Unusual Sign-in Activity Detected\n\nDear <PERSON>,\n\nOur system detected a suspicious login attempt to your Chase Online account from an unrecognized device in <LOCATION>, <LOCATION>.\n\nAccount ending in: <ACCOUNT_NUMBER>\nDate: <DATE_TIME>\nTime: <DATE_TIME>\n\nIf this was not you, please click the link below:\n<URL>\n\nIf you have questions, call <PHONE_NUMBER> or visit <ADDRESS>, <LOCATION>, NY 10017.\n\nThank you,\nChase Bank Global Security Operations"}
2026-04-03 14:43:37,218 | INFO | mail_pii | Metrics saved to /Users/joaquinaravena/Documents/GitHub/Personal-projects/Anonymization/outputs/metrics/metrics.csv
2026-04-03 14:47:13,061 | INFO | mail_pii | {"mail_id": "mail_001", "success": true, "processing_time_sec": 0.1351, "num_entities": 14, "output_file": "/Users/joaquinaravena/Documents/GitHub/Personal-projects/Anonymization/outputs/anonymized/mail_001.txt", "anonymized_text": "From: Chase Security Team <<EMAIL_ADDRESS>>\nTo: <EMAIL_ADDRESS>\nSubject: URGENT: Unusual Sign-in Activity Detected\n\nDear <PERSON>,\n\nOur system detected a suspicious login attempt to your Chase Online account from an unrecognized device in <LOCATION>, <LOCATION>.\n\nAccount ending in: ...4829\nDate: <DATE_TIME>\nTime: <DATE_TIME>\n\nIf this was not you, please click the link below:\n<URL>\n\nIf you have questions, call <PHONE_NUMBER> or visit <ADDRESS>, <LOCATION>, NY 10017.\n\nThank you,\nChase Bank Global Security Operations"}
2026-04-03 14:47:13,061 | INFO | mail_pii | Metrics saved to /Users/joaquinaravena/Documents/GitHub/Personal-projects/Anonymization/outputs/metrics/metrics.csv
2026-04-03 14:55:18,099 | INFO | mail_pii | {"mail_id": "mail_001", "success": true, "language": "en", "processing_time_sec": 0.2868, "num_entities": 15, "output_file": "/Users/joaquinaravena/Documents/GitHub/Personal-projects/Anonymization/outputs/anonymized/mail_001.txt", "anonymized_text": "From: Chase Security Team <<EMAIL_ADDRESS>>\nTo: <EMAIL_ADDRESS>\nSubject: URGENT: Unusual Sign-in Activity Detected\n\nDear <PERSON>,\n\nOur system detected a suspicious login attempt to your Chase Online account from an unrecognized device in <LOCATION>, <LOCATION>.\n\nAccount ending in: <ACCOUNT_NUMBER>\nDate: <DATE_TIME>\nTime: <DATE_TIME>\n\nIf this was not you, please click the link below:\n<URL>\n\nIf you have questions, call <PHONE_NUMBER> or visit <ADDRESS>, <LOCATION>, NY 10017.\n\nThank you,\nChase Bank Global Security Operations"}
2026-04-03 14:55:18,099 | INFO | mail_pii | Metrics saved to /Users/joaquinaravena/Documents/GitHub/Personal-projects/Anonymization/outputs/metrics/metrics.csv
2026-04-03 14:56:32,010 | INFO | mail_pii | {"mail_id": "mail_001", "success": true, "language": "en", "processing_time_sec": 0.2883, "num_entities": 15, "output_file": "/Users/joaquinaravena/Documents/GitHub/Personal-projects/Anonymization/outputs/anonymized/mail_001.txt", "anonymized_text": "From: Chase Security Team <<EMAIL_ADDRESS>>\nTo: <EMAIL_ADDRESS>\nSubject: URGENT: Unusual Sign-in Activity Detected\n\nDear <PERSON>,\n\nOur system detected a suspicious login attempt to your Chase Online account from an unrecognized device in <LOCATION>, <LOCATION>.\n\nAccount ending in: <ACCOUNT_NUMBER>\nDate: <DATE_TIME>\nTime: <DATE_TIME>\n\nIf this was not you, please click the link below:\n<URL>\n\nIf you have questions, call <PHONE_NUMBER> or visit <ADDRESS>, <LOCATION>, NY 10017.\n\nThank you,\nChase Bank Global Security Operations"}
